Dates,Interest
1/1/2017,50
1/8/2017,51
1/15/2017,50
1/22/2017,56
1/29/2017,53
2/5/2017,53
2/12/2017,56
2/19/2017,64
2/26/2017,58
3/5/2017,57
3/12/2017,60
3/19/2017,100
3/26/2017,58
4/2/2017,56
4/9/2017,56
4/16/2017,55
4/23/2017,56
4/30/2017,51
5/7/2017,51
5/14/2017,49
5/21/2017,48
5/28/2017,45
6/4/2017,48
6/11/2017,56
6/18/2017,55
6/25/2017,47
7/2/2017,46
7/9/2017,51
7/16/2017,51
7/23/2017,53
7/30/2017,51
8/6/2017,48
8/13/2017,49
8/20/2017,52
8/27/2017,51
9/3/2017,55
9/10/2017,60
9/17/2017,59
9/24/2017,49
10/1/2017,55
10/8/2017,56
10/15/2017,48
10/22/2017,87
10/29/2017,56
11/5/2017,61
11/12/2017,60
11/19/2017,58
11/26/2017,57
12/3/2017,57
12/10/2017,55
12/17/2017,57
12/24/2017,54
12/31/2017,53
1/7/2018,58
1/14/2018,58
1/21/2018,56
1/28/2018,61
2/4/2018,63
2/11/2018,58
2/18/2018,62
2/25/2018,49
3/4/2018,63
3/11/2018,67
3/18/2018,100
3/25/2018,68
4/1/2018,54
4/8/2018,61
4/15/2018,60
4/22/2018,59
4/29/2018,51
5/6/2018,51
5/13/2018,56
5/20/2018,54
5/27/2018,45
6/3/2018,49
6/10/2018,51
6/17/2018,52
6/24/2018,48
7/1/2018,47
7/8/2018,52
7/15/2018,53
7/22/2018,50
7/29/2018,53
8/5/2018,52
8/12/2018,49
8/19/2018,49
8/26/2018,49
9/2/2018,51
9/9/2018,50
9/16/2018,47
9/23/2018,50
9/30/2018,45
10/7/2018,45
10/14/2018,41
10/21/2018,45
10/28/2018,47
11/4/2018,37
11/11/2018,45
11/18/2018,49
11/25/2018,45
12/2/2018,51
12/9/2018,47
12/16/2018,52
12/23/2018,40
12/30/2018,45
1/6/2019,81
1/13/2019,74
1/20/2019,74
1/27/2019,79
2/3/2019,82
2/10/2019,83
2/17/2019,76
2/24/2019,70
3/3/2019,66
3/10/2019,81
3/17/2019,92
3/24/2019,99
3/31/2019,78
4/7/2019,76
4/14/2019,68
4/21/2019,76
4/28/2019,76
5/5/2019,68
5/12/2019,80
5/19/2019,71
5/26/2019,68
6/2/2019,73
6/9/2019,75
6/16/2019,71
6/23/2019,81
6/30/2019,66
7/7/2019,79
7/14/2019,83
7/21/2019,79
7/28/2019,78
8/4/2019,82
8/11/2019,71
8/18/2019,100
8/25/2019,95
9/1/2019,78
9/8/2019,86
9/15/2019,94
9/22/2019,92
9/29/2019,80
10/6/2019,67
10/13/2019,88
10/20/2019,77
10/27/2019,70
11/3/2019,84
11/10/2019,81
11/17/2019,96
11/24/2019,91
12/1/2019,91
12/8/2019,87
12/15/2019,84
12/22/2019,75
12/29/2019,86
1/5/2020,84
1/12/2020,77
1/19/2020,90
1/26/2020,82
2/2/2020,88
2/9/2020,87
2/16/2020,87
2/23/2020,90
3/1/2020,99
3/8/2020,87
3/15/2020,87
3/22/2020,94
3/29/2020,90
4/5/2020,93
4/12/2020,83
4/19/2020,94
4/26/2020,82
5/3/2020,84
5/10/2020,100
5/17/2020,87
5/24/2020,86
5/31/2020,85
6/7/2020,95
6/14/2020,88
6/21/2020,84
6/28/2020,90
7/5/2020,82
7/12/2020,89
7/19/2020,87
7/26/2020,87
8/2/2020,85
8/9/2020,79
8/16/2020,87
8/23/2020,91
8/30/2020,94
9/6/2020,88
9/13/2020,86
9/20/2020,88
9/27/2020,80
10/4/2020,92
10/11/2020,91
10/18/2020,76
10/25/2020,76
11/1/2020,87
11/8/2020,81
11/15/2020,80
11/22/2020,93
11/29/2020,96
12/6/2020,95
12/13/2020,94
12/20/2020,90
12/27/2020,78
1/3/2021,51
1/10/2021,48
1/17/2021,50
1/24/2021,55
1/31/2021,58
2/7/2021,57
2/14/2021,58
2/21/2021,65
2/28/2021,65
3/7/2021,60
3/14/2021,68
3/21/2021,100
3/28/2021,54
4/4/2021,61
4/11/2021,52
4/18/2021,50
4/25/2021,47
5/2/2021,55
5/9/2021,48
5/16/2021,55
5/23/2021,55
5/30/2021,61
6/6/2021,58
6/13/2021,55
6/20/2021,57
6/27/2021,60
7/4/2021,61
7/11/2021,63
7/18/2021,59
7/25/2021,54
8/1/2021,56
8/8/2021,54
8/15/2021,55
8/22/2021,56
8/29/2021,61
9/5/2021,53
9/12/2021,52
9/19/2021,53
9/26/2021,55
10/3/2021,47
10/10/2021,47
10/17/2021,50
10/24/2021,54
10/31/2021,38
11/7/2021,47
11/14/2021,54
11/21/2021,57
11/28/2021,54
12/5/2021,55
12/12/2021,58
12/19/2021,50
12/26/2021,45
1/2/2022,44
